State,Abbreviation,Phase.0,Phase.1,Phase.2,Phase.3,Restriction Rating,Governer.Party
Alabama,AL,4/4/2020,4/30/2020,5/11/2020,5/22/2020,minor,R
Alaska,AK,3/28/2020,4/24/2020,5/8/2020,5/19/2020,none,R
Arizona,AZ,3/31/2020,4/22/2020,4/29/2020,5/13/2020,minor,R
Arkansas,AR,3/19/2020,3/19/2020,5/6/2020,5/18/2020,minor,R
California,CA,3/19/2020,5/8/2020,5/26/2020,6/12/2020,major/varies,D
Colorado,CO,3/26/2020,4/27/2020,5/4/2020,5/27/2020,moderate,D
Connecticut,CT,3/23/2020,3/23/2020,5/20/2020,6/17/2020,moderate,D
Delaware,DE,3/24/2020,5/8/2020,5/22/2020,6/15/2020,moderate,D
District Of Columbia,D.C.,4/1/2020,5/13/2020,5/29/2020,6/22/2020,moderate,D
Florida,FL,4/2/2020,5/4/2020,5/11/2020,6/5/2020,minor,R
Georgia,GA,4/3/2020,4/24/2020,4/27/2020,6/1/2020,minor,R
Hawaii,HI,3/25/2020,5/5/2020,5/29/2020,,moderate,D
Idaho,ID,3/25/2020,5/1/2020,5/16/2020,5/30/2020,minor,R
Illinois,IL,3/21/2020,4/23/2020,5/29/2020,5/29/2020,moderate/varies,D
Indiana,IN,3/24/2020,3/24/2020,5/4/2020,5/22/2020,minor,R
Iowa,IA,3/9/2020,5/1/2020,5/15/2020,5/22/2020,minor,R
Kansas,KS,3/30/2020,5/4/2020,5/18/2020,5/22/2020,minor,R
Kentucky,KY,3/26/2020,4/23/2020,4/29/2020,5/20/2020,moderate,D
Louisiana,LA,3/23/2020,4/27/2020,5/15/2020,6/5/2020,minor/varies,D
Maine,ME,4/2/2020,5/1/2020,5/11/2020,5/18/2020,minor,D
Maryland,MD,3/30/2020,4/15/2020,5/15/2020,6/19/2020,moderate/varies,R
Massachusetts,MA,3/24/2020,5/18/2020,5/25/2020,6/8/2020,moderate,R
Michigan,MI,3/24/2020,4/9/2020,5/22/2020,6/1/2020,minor/varies,D
Minnesota,MN,3/27/2020,4/27/2020,5/18/2020,6/10/2020,minor,D
Mississippi,MS,4/3/2020,4/27/2020,5/4/2020,6/1/2020,minor,R
Missouri,MO,4/6/2020,4/6/2020,5/4/2020,6/16/2020,minor,R
Montana,MT,3/28/2020,4/22/2020,5/4/2020,6/1/2020,minor,D
Nebraska,NE,3/19/2020,4/24/2020,6/1/2020,6/22/2020,minor/varies,R
Nevada,NV,4/1/2020,4/29/2020,5/7/2020,6/4/2020,minor,D
New Hampshire,NH,3/27/2020,5/1/2020,5/18/2020,6/15/2020,moderate,R
New Jersey,NJ,3/21/2020,4/29/2020,5/18/2020,6/15/2020,moderate,D
New Mexico,NM,3/24/2020,4/6/2020,5/1/2020,6/1/2020,moderate,D
New York,NY,3/22/2020,4/27/2020,5/11/2020,6/22/2020,moderate/varies,D
North Carolina,NC,3/30/2020,3/30/2020,5/8/2020,5/22/2020,moderate,D
North Dakota,ND,3/13/2020,3/13/2020,5/1/2020,5/9/2020,minor,R
Ohio,OH,3/23/2020,5/1/2020,5/15/2020,5/26/2020,minor,R
Oklahoma,OK,3/16/2020,3/16/2020,4/24/2020,5/15/2020,minor,R
Oregon,OR,3/23/2020,5/1/2020,5/15/2020,6/4/2020,moderate/varies,D
Pennsylvania,PA,4/1/2020,5/1/2020,5/8/2020,5/15/2020,moderate,D
Rhode Island,RI,3/28/2020,5/9/2020,5/18/2020,5/25/2020,moderate,D
South Carolina,SC,4/7/2020,4/20/2020,5/4/2020,5/11/2020,minor,R
South Dakota,SD,3/16/2020,3/16/2020,3/16/2020,5/11/2020,minor,R
Tennessee,TN,3/31/2020,4/27/2020,5/6/2020,5/22/2020,minor/varies,R
Texas,TX,4/2/2020,5/1/2020,5/18/2020,6/3/2020,minor/varies,R
Utah,UT,3/16/2020,3/16/2020,3/16/2020,5/1/2020,minor,R
Vermont,VT,3/24/2020,4/27/2020,5/18/2020,5/29/2020,minor,R
Virginia,VA,4/15/2020,5/12/2020,6/5/2020,6/12/2020,moderate/varies,D
Washington,WA,3/23/2020,5/4/2020,5/11/2020,6/3/2020,moderate/varies,D
West Virginia,WV,3/24/20,3/24/20,5/4/2020,5/21/2020,none,R
Wisconsin,WI,3/25/2020,4/27/2020,5/11/2020,5/22/2020,minor/varies,D
Wyoming,WY,3/15/2020,3/15/2020,5/1/2020,5/15/2020,minor,R
