Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,,65.1,125,9,56.1
AL-003,,68.6,126,9,59.6
AL-005,,65.8,125,8.7,57.1
AL-007,,62.6,123,8,54.6
AL-009,,60.4,123,8.4,52
AL-011,,64.8,125,8.6,56.2
AL-013,,66.4,126,9.3,57.1
AL-015,,60.7,123,8.1,52.6
AL-017,,61,121,7.6,53.4
AL-019,,59.4,122,7.5,51.9
AL-021,,63.1,124,8.4,54.7
AL-023,,66.2,126,9.2,57
AL-025,,66.9,126,9.4,57.5
AL-027,,60.7,123,7.9,52.8
AL-029,,60,123,8.4,51.6
AL-031,,67.9,126,9.8,58.1
AL-033,,58.4,121,7.6,50.8
AL-035,,67.8,126,9.8,58
AL-037,,62.3,123,7.9,54.4
AL-039,,67.8,126,9.7,58.1
AL-041,,66.2,126,9.3,56.9
AL-043,,59.8,122,8.2,51.6
AL-045,,68,126,9.6,58.4
AL-047,,65.6,125,8.9,56.7
AL-049,,57.5,120,6.9,50.6
AL-051,,64,123,8.2,55.8
AL-053,,68.3,126,9.5,58.8
AL-055,,59.6,121,7.3,52.3
AL-057,,61.4,121,8,53.4
AL-059,,58.8,122,7.9,50.9
AL-061,,68.7,126,9.8,58.9
AL-063,,64.3,123,8.5,55.8
AL-065,,64,124,8.3,55.7
AL-067,,67.7,126,9.4,58.3
AL-069,,68.6,126,9.3,59.3
AL-071,,56.8,117,6.2,50.6
AL-073,,61.5,123,8.1,53.4
AL-075,,61.5,121,8,53.5
AL-077,,57.4,118,7,50.4
AL-079,,58.1,119,7,51.1
AL-081,,62.7,121,7.8,54.9
AL-083,,57.7,116,6.8,50.9
AL-085,,66.2,126,9.3,56.9
AL-087,,63.9,122,7.9,56
AL-089,,57.8,117,6.8,51
AL-091,,65.5,125,8.9,56.6
AL-093,,60.1,122,8.1,52
AL-095,,58.9,121,7.3,51.6
AL-097,,68.4,125,9.2,59.2
AL-099,,67.7,126,9.9,57.8
AL-101,,65.6,125,9,56.6
AL-103,,58.6,122,7.2,51.4
AL-105,,64.2,124,8.5,55.7
AL-107,,63.2,123,8.5,54.7
AL-109,,66,126,9,57
AL-111,,59.9,121,7.6,52.3
AL-113,,64.2,123,8,56.2
AL-115,,61,123,8.2,52.8
AL-117,,62.1,123,8.2,53.9
AL-119,,65.1,124,8.9,56.2
AL-121,,62,123,8.2,53.8
AL-123,,61.6,121,7.5,54.1
AL-125,,62.6,121,8,54.6
AL-127,,60.9,122,7.8,53.1
AL-129,,67.2,126,9.2,58
AL-131,,66.4,126,9.1,57.3
AL-133,,59,122,7.5,51.5
AZ-001,,43.3,104,3.4,39.9
AZ-003,,53,85,1.6,51.4
AZ-005,,44.1,88,2.2,41.9
AZ-007,,50.3,83,1.7,48.6
AZ-009,,52.3,86,1.7,50.6
AZ-011,,49,97,2.6,46.4
AZ-012,,60,51,-0.4,60.4
AZ-013,,59.6,65,0.5,59.1
AZ-015,,50.9,55,0,50.9
AZ-017,,44.4,99,3.1,41.3
AZ-019,,57.6,69,0.8,56.8
AZ-021,,58.8,76,1.3,57.5
AZ-023,,51.8,75,1,50.8
AZ-025,,48.9,65,0.8,48.1
AZ-027,,61.4,52,-0.2,61.6
AR-001,,58.8,115,5.6,53.2
AR-003,,62.2,122,7.3,54.9
AR-005,,52.3,109,4.9,47.4
AR-007,,53.8,116,6.2,47.6
AR-009,,52.4,113,5.4,47
AR-011,,61.1,121,6.8,54.3
AR-013,,60.2,117,5.9,54.3
AR-015,,52.7,114,5.7,47
AR-017,,60.7,117,5.6,55.1
AR-019,,57.5,106,4.2,53.3
AR-021,,53.9,113,5.1,48.8
AR-023,,54.2,110,4.6,49.6
AR-025,,58.5,112,4.7,53.8
AR-027,,60.9,118,5.9,55
AR-029,,55.6,110,4.6,51
AR-031,,54.3,108,4.6,49.7
AR-033,,55.9,117,6.1,49.8
AR-035,,57.2,115,5.6,51.6
AR-037,,55.9,106,4.6,51.3
AR-039,,58,107,4.4,53.6
AR-041,,59,115,5,54
AR-043,,60.2,117,6,54.2
AR-045,,55.4,106,4.1,51.3
AR-047,,55.3,115,5.5,49.8
AR-049,,52.4,112,5.5,46.9
AR-051,,56.1,109,4.4,51.7
AR-053,,57.5,106,4.2,53.3
AR-055,,54,108,4.8,49.2
AR-057,,58.8,114,5.1,53.7
AR-059,,57,106,4.2,52.8
AR-061,,57.8,115,5.5,52.3
AR-063,,53.8,106,4.4,49.4
AR-065,,52.5,106,4.6,47.9
AR-067,,54.1,102,3.9,50.2
AR-069,,57.7,108,4.3,53.4
AR-071,,54.3,112,5.1,49.2
AR-073,,60.9,117,5.9,55
AR-075,,53.5,106,4.4,49.1
AR-077,,57.9,114,5.5,52.4
AR-079,,58.8,115,5.1,53.7
AR-081,,60.3,118,6.6,53.7
AR-083,,56.1,114,5.3,50.8
AR-085,,56.5,105,3.9,52.6
AR-087,,52.7,114,5.8,46.9
AR-089,,52.3,110,4.9,47.4
AR-091,,60.9,116,5.9,55
AR-093,,55.2,110,4.9,50.3
AR-095,,58.1,115,5.6,52.5
AR-097,,56.5,114,5.4,51.1
AR-099,,59,113,4.9,54.1
AR-101,,52.2,114,5.4,46.8
AR-103,,59.6,114,5.1,54.5
AR-105,,55.7,106,4.2,51.5
AR-107,,58.6,115,5.7,52.9
AR-109,,57,110,4.8,52.2
AR-111,,54.8,107,4.4,50.4
AR-113,,56.4,118,6.2,50.2
AR-115,,54.7,112,4.9,49.8
AR-117,,57.1,110,4.6,52.5
AR-119,,56.2,103,3.8,52.4
AR-121,,53.3,111,5,48.3
AR-123,,57.1,113,5.1,52
AR-125,,56.2,105,4.1,52.1
AR-127,,56.2,117,5.8,50.4
AR-129,,52.5,110,5,47.5
AR-131,,57,118,6.1,50.9
AR-133,,59.4,119,6.7,52.7
AR-135,,52.7,110,4.8,47.9
AR-137,,52.8,108,4.6,48.2
AR-139,,61.9,121,7,54.9
AR-141,,53.6,111,4.7,48.9
AR-143,,53.9,115,6.1,47.8
AR-145,,55.8,110,4.6,51.2
AR-147,,55.7,105,4.2,51.5
AR-149,,56.2,112,5,51.2
CA-001,,51.7,54,-0.2,51.9
CA-003,,32.3,43,-1.2,33.5
CA-005,,46.9,38,-1.5,48.4
CA-007,,49.7,53,-0.6,50.3
CA-009,,47.4,43,-1.3,48.7
CA-011,,50.5,32,-1.8,52.3
CA-013,,52.4,52,-0.6,53
CA-015,,43.5,68,0.1,43.4
CA-017,,42.1,35,-1.7,43.8
CA-019,,44.9,50,-0.5,45.4
CA-021,,50,55,-0.6,50.6
CA-023,,45.8,57,-0.4,46.2
CA-025,,61.9,37,-1.2,63.1
CA-027,,47.7,33,-1.8,49.5
CA-029,,50.6,40,-1,51.6
CA-031,,54.4,56,-0.2,54.6
CA-033,,46.2,37,-1.5,47.7
CA-035,,36,52,-0.9,36.9
CA-037,,51,40,-1.1,52.1
CA-039,,45.7,54,-0.5,46.2
CA-041,,51.3,71,0.3,51
CA-043,,43.2,32,-2,45.2
CA-045,,46.4,37,-1.4,47.8
CA-047,,53.3,52,-0.4,53.7
CA-049,,37,68,0.6,36.4
CA-051,,32,40,-1.3,33.3
CA-053,,50.5,60,-0.2,50.7
CA-055,,50.9,57,-0.2,51.1
CA-057,,40.8,39,-1.7,42.5
CA-059,,56.2,47,-0.2,56.4
CA-061,,42.3,37,-1.6,43.9
CA-063,,36.1,43,-1.5,37.6
CA-065,,56.3,37,-1.2,57.5
CA-067,,54.2,65,-0.1,54.3
CA-069,,48.8,51,-0.6,49.4
CA-071,,54,35,-1.4,55.4
CA-073,,52.5,43,-0.9,53.4
CA-075,,52.9,69,0.3,52.6
CA-077,,53.9,57,-0.1,54
CA-079,,50.4,50,-0.4,50.8
CA-081,,52.1,76,0.9,51.2
CA-083,,50.8,72,0.9,49.9
CA-085,,50.5,69,0.3,50.2
