April 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"",63.2,53,-0.4,63.6
AL-003,"",67.9,96,1.5,66.4
AL-005,"",64.1,57,-0.4,64.5
AL-007,"",60.8,30,-1.7,62.5
AL-009,"",59.1,39,-1.2,60.3
AL-011,"",63.2,52,-0.6,63.8
AL-013,"",64.4,68,-0.0,64.4
AL-015,"",59.1,33,-1.6,60.7
AL-017,"",59.8,33,-1.5,61.3
AL-019,"",58.0,21,-2.4,60.4
AL-021,"",61.2,43,-1.2,62.4
AL-023,"",63.9,56,-0.5,64.4
AL-025,"",65.0,68,0.3,64.7
AL-027,"",58.9,34,-1.7,60.6
AL-029,"",58.4,38,-1.3,59.7
AL-031,"",65.5,73,0.4,65.1
AL-033,"",57.6,22,-2.2,59.8
AL-035,"",66.2,82,1.1,65.1
AL-037,"",60.4,33,-1.6,62
AL-039,"",66.1,82,0.8,65.3
AL-041,"",64.1,59,-0.2,64.3
AL-043,"",58.7,35,-1.4,60.1
AL-045,"",65.9,74,0.5,65.4
AL-047,"",63.2,51,-0.8,64
AL-049,"",56.6,19,-2.6,59.2
AL-051,"",62.4,46,-0.9,63.3
AL-053,"",67.0,89,1.3,65.7
AL-055,"",58.7,26,-1.9,60.6
AL-057,"",60.1,31,-1.6,61.7
AL-059,"",57.2,18,-2.6,59.8
AL-061,"",67.1,93,1.2,65.9
AL-063,"",61.8,28,-1.8,63.6
AL-065,"",61.6,28,-1.8,63.4
AL-067,"",65.9,72,0.5,65.4
AL-069,"",67.8,95,1.5,66.3
AL-071,"",57.0,20,-2.4,59.4
AL-073,"",60.2,39,-1.3,61.5
AL-075,"",60.4,35,-1.4,61.8
AL-077,"",57.2,22,-2.3,59.5
AL-079,"",57.1,16,-2.8,59.9
AL-081,"",61.4,45,-1.0,62.4
AL-083,"",57.4,21,-2.4,59.8
AL-085,"",64.3,62,-0.1,64.4
AL-087,"",62.5,46,-1.0,63.5
AL-089,"",57.5,21,-2.3,59.8
AL-091,"",62.9,45,-1.2,64.1
AL-093,"",58.3,23,-2.2,60.5
AL-095,"",58.1,25,-2.0,60.1
AL-097,"",67.8,98,1.6,66.2
AL-099,"",66.0,83,1.1,64.9
AL-101,"",63.9,55,-0.2,64.1
AL-103,"",58.0,25,-2.1,60.1
AL-105,"",61.7,33,-1.6,63.3
AL-107,"",61.5,36,-1.3,62.8
AL-109,"",64.0,57,-0.4,64.4
AL-111,"",59.0,37,-1.2,60.2
AL-113,"",62.8,46,-0.9,63.7
AL-115,"",59.4,36,-1.4,60.8
AL-117,"",60.2,37,-1.5,61.7
AL-119,"",62.4,36,-1.4,63.8
AL-121,"",59.8,31,-1.7,61.5
AL-123,"",60.2,35,-1.6,61.8
AL-125,"",61.3,34,-1.5,62.8
AL-127,"",59.7,32,-1.6,61.3
AL-129,"",65.7,72,0.4,65.3
AL-131,"",64.0,55,-0.4,64.4
AL-133,"",57.5,20,-2.5,60
AZ-001,"",50.5,111,3.1,47.4
AZ-003,"",60.3,100,2.0,58.3
AZ-005,"",52.4,104,2.9,49.5
AZ-007,"",59.0,109,3.6,55.4
AZ-009,"",60.8,107,3.2,57.6
AZ-011,"",56.2,107,2.9,53.3
AZ-012,"",70.1,94,2.3,67.8
AZ-013,"",69.2,100,2.9,66.3
AZ-015,"",60.5,93,2.2,58.3
AZ-017,"",52.5,110,3.5,49
AZ-019,"",66.3,98,2.6,63.7
AZ-021,"",67.6,100,2.7,64.9
AZ-023,"",58.8,88,1.5,57.3
AZ-025,"",57.2,90,2.3,54.9
AZ-027,"",71.0,100,2.7,68.3
AR-001,"",60.3,23,-2.0,62.3
AR-003,"",63.1,62,-0.2,63.3
AR-005,"",54.9,20,-2.4,57.3
