February 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"",52.5,99,3.3,49.2
AL-003,"",57.0,100,3.4,53.6
AL-005,"",52.7,88,2.1,50.6
AL-007,"",49.7,89,2.4,47.3
AL-009,"",48.0,98,3.5,44.5
AL-011,"",52.2,90,2.5,49.7
AL-013,"",53.8,101,3.3,50.5
AL-015,"",48.8,98,3.5,45.3
AL-017,"",49.2,93,2.7,46.5
AL-019,"",47.7,95,3.3,44.4
AL-021,"",50.4,94,2.8,47.6
AL-023,"",53.4,99,3.3,50.1
AL-025,"",53.9,98,3.1,50.8
AL-027,"",48.7,97,3.0,45.7
AL-029,"",48.3,101,4.0,44.3
AL-031,"",54.3,95,2.7,51.6
AL-033,"",45.9,93,3.0,42.9
AL-035,"",55.2,104,3.5,51.7
AL-037,"",50.0,94,2.6,47.4
AL-039,"",55.0,100,3.1,51.9
AL-041,"",53.3,97,2.9,50.4
AL-043,"",47.2,93,3.2,44
AL-045,"",54.3,91,2.4,51.9
AL-047,"",52.6,95,2.9,49.7
AL-049,"",45.9,93,3.0,42.9
AL-051,"",51.8,96,2.8,49
AL-053,"",56.1,103,3.5,52.6
AL-055,"",48.0,95,3.2,44.8
AL-057,"",48.5,90,2.7,45.8
AL-059,"",46.2,93,3.0,43.2
AL-061,"",55.4,98,2.9,52.5
AL-063,"",50.6,90,2.4,48.2
AL-065,"",50.3,89,2.1,48.2
AL-067,"",54.1,89,2.4,51.7
AL-069,"",55.7,95,2.8,52.9
AL-071,"",45.6,92,2.8,42.8
AL-073,"",48.8,91,2.8,46
AL-075,"",48.3,88,2.4,45.9
AL-077,"",45.4,94,3.0,42.4
AL-079,"",45.9,90,2.6,43.3
AL-081,"",50.6,92,2.4,48.2
AL-083,"",46.1,96,3.2,42.9
AL-085,"",53.7,101,3.5,50.2
AL-087,"",51.8,92,2.4,49.4
AL-089,"",46.1,93,3.0,43.1
AL-091,"",51.8,92,2.3,49.5
AL-093,"",46.9,87,2.6,44.3
AL-095,"",47.2,95,3.2,44
AL-097,"",56.4,98,3.2,53.2
AL-099,"",54.8,103,3.6,51.2
AL-101,"",53.3,101,3.3,50
AL-103,"",46.5,92,2.9,43.6
AL-105,"",50.7,90,2.2,48.5
AL-107,"",49.9,89,2.8,47.1
AL-109,"",53.2,95,2.6,50.6
AL-111,"",48.3,96,3.1,45.2
AL-113,"",51.9,90,2.3,49.6
AL-115,"",48.7,96,3.2,45.5
AL-117,"",49.4,93,2.7,46.7
AL-119,"",51.7,95,2.8,48.9
AL-121,"",49.6,96,3.0,46.6
AL-123,"",49.7,90,2.4,47.3
AL-125,"",49.8,91,2.7,47.1
AL-127,"",48.1,92,2.6,45.5
AL-129,"",54.7,98,3.1,51.6
AL-131,"",53.2,95,2.9,50.3
AL-133,"",46.2,87,2.4,43.8
AZ-001,"",36.0,80,1.5,34.5
AZ-003,"",47.1,68,0.2,46.9
AZ-005,"",38.8,89,2.3,36.5
AZ-007,"",45.7,78,1.4,44.3
AZ-009,"",46.8,68,0.7,46.1
AZ-011,"",43.2,81,1.2,42
AZ-012,"",56.5,74,0.9,55.6
AZ-013,"",55.3,69,0.6,54.7
AZ-015,"",47.8,82,1.6,46.2
AZ-017,"",37.2,80,1.4,35.8
