January 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"",50.5,107,4.2,46.3
AL-003,"",55.0,104,4.0,51
AL-005,"",51.7,101,3.9,47.8
AL-007,"",48.6,107,4.3,44.3
AL-009,"",47.0,112,5.4,41.6
AL-011,"",50.9,104,4.1,46.8
AL-013,"",51.5,104,4.0,47.5
AL-015,"",48.1,114,5.8,42.3
AL-017,"",47.9,107,4.2,43.7
AL-019,"",47.0,112,5.6,41.4
AL-021,"",49.0,106,4.3,44.7
AL-023,"",51.0,98,3.9,47.1
AL-025,"",51.9,102,4.0,47.9
AL-027,"",47.3,107,4.5,42.8
AL-029,"",47.6,114,6.1,41.5
AL-031,"",52.6,101,3.9,48.7
AL-033,"",46.0,114,6.1,39.9
AL-035,"",52.8,104,4.1,48.7
AL-037,"",48.5,103,4.0,44.5
AL-039,"",52.8,102,3.9,48.9
AL-041,"",51.2,101,3.8,47.4
AL-043,"",46.3,110,5.2,41.1
AL-045,"",53.2,102,4.1,49.1
AL-047,"",50.5,100,3.7,46.8
AL-049,"",45.0,108,5.0,40
AL-051,"",50.0,106,3.9,46.1
AL-053,"",53.9,103,4.2,49.7
AL-055,"",47.3,111,5.4,41.9
AL-057,"",47.9,109,5.1,42.8
AL-059,"",45.9,113,5.7,40.2
AL-061,"",54.4,106,4.7,49.7
AL-063,"",49.4,107,4.2,45.2
AL-065,"",49.0,99,3.7,45.3
AL-067,"",53.3,103,4.2,49.1
AL-069,"",55.3,109,5.1,50.2
AL-071,"",44.7,106,4.8,39.9
AL-073,"",48.4,111,5.3,43.1
AL-075,"",47.8,108,5.0,42.8
AL-077,"",45.7,116,6.3,39.4
AL-079,"",45.5,108,5.1,40.4
AL-081,"",49.3,103,3.7,45.6
AL-083,"",45.5,113,5.6,39.9
AL-085,"",51.4,105,4.2,47.2
AL-087,"",50.2,102,3.7,46.5
AL-089,"",45.3,110,5.1,40.2
