May 2020 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"",70.4,41,-1.0,71.4
AL-003,"",72.6,36,-0.9,73.5
AL-005,"",70.2,20,-2.1,72.3
AL-007,"",68.5,23,-1.9,70.4
AL-009,"",66.4,23,-2.1,68.5
AL-011,"",69.6,22,-2.1,71.7
AL-013,"",70.7,42,-1.2,71.9
AL-015,"",66.5,23,-2.3,68.8
AL-017,"",66.6,14,-2.6,69.2
AL-019,"",65.3,13,-3.4,68.7
AL-021,"",68.7,31,-1.6,70.3
AL-023,"",70.0,22,-1.9,71.9
AL-025,"",70.9,37,-1.2,72.1
AL-027,"",66.0,20,-2.3,68.3
AL-029,"",65.4,23,-2.3,67.7
AL-031,"",71.3,31,-1.5,72.8
AL-033,"",66.0,27,-2.1,68.1
AL-035,"",71.7,45,-0.9,72.6
AL-037,"",67.8,25,-1.9,69.7
AL-039,"",71.7,39,-1.1,72.8
AL-041,"",70.4,35,-1.4,71.8
AL-043,"",65.9,19,-2.3,68.2
AL-045,"",71.6,26,-1.5,73.1
AL-047,"",70.3,29,-1.5,71.8
AL-049,"",63.8,11,-3.5,67.3
AL-051,"",69.6,27,-1.6,71.2
AL-053,"",72.2,44,-0.8,73
AL-055,"",65.9,15,-2.9,68.8
AL-057,"",67.9,26,-1.9,69.8
AL-059,"",65.8,23,-2.2,68
AL-061,"",72.4,37,-1.0,73.4
AL-063,"",69.2,17,-2.4,71.6
AL-065,"",69.0,17,-2.4,71.4
AL-067,"",71.6,24,-1.6,73.2
AL-069,"",72.9,37,-1.1,74
AL-071,"",64.4,12,-3.1,67.5
AL-073,"",68.1,31,-1.5,69.6
AL-075,"",68.2,30,-1.7,69.9
AL-077,"",65.3,23,-2.4,67.7
AL-079,"",65.2,13,-3.0,68.2
AL-081,"",68.1,17,-2.4,70.5
AL-083,"",65.0,14,-3.0,68
AL-085,"",71.0,43,-1.0,72
AL-087,"",69.4,18,-2.2,71.6
AL-089,"",65.0,14,-3.0,68
AL-091,"",69.4,16,-2.4,71.8
AL-093,"",66.6,26,-2.1,68.7
AL-095,"",65.4,15,-2.9,68.3
AL-097,"",72.3,39,-0.9,73.2
AL-099,"",71.7,49,-0.6,72.3
AL-101,"",70.7,37,-1.2,71.9
AL-103,"",65.4,15,-2.9,68.3
AL-105,"",69.0,17,-2.2,71.2
AL-107,"",69.1,26,-1.8,70.9
AL-109,"",70.2,21,-1.9,72.1
AL-111,"",65.6,16,-2.6,68.2
AL-113,"",69.4,17,-2.3,71.7
AL-115,"",66.8,24,-2.1,68.9
AL-117,"",68.0,29,-1.6,69.6
AL-119,"",69.4,17,-2.2,71.6
AL-121,"",67.3,25,-2.0,69.3
AL-123,"",67.3,17,-2.4,69.7
AL-125,"",69.0,27,-1.8,70.8
AL-127,"",67.7,28,-1.7,69.4
AL-129,"",71.1,29,-1.5,72.6
AL-131,"",70.5,29,-1.5,72
AL-133,"",65.7,18,-2.4,68.1
AZ-001,"",60.8,124,4.7,56.1
AZ-003,"",70.8,122,4.5,66.3
AZ-005,"",63.1,121,5.2,57.9
AZ-007,"",69.7,125,6.0,63.7
AZ-009,"",71.8,125,5.7,66.1
AZ-011,"",66.7,124,5.3,61.4
AZ-012,"",81.4,121,5.6,75.8
AZ-013,"",80.7,122,6.2,74.5
AZ-015,"",72.4,120,5.4,67
AZ-017,"",62.8,123,5.1,57.7
AZ-019,"",77.1,122,5.5,71.6
AZ-021,"",79.3,122,5.9,73.4
AZ-023,"",69.7,122,5.0,64.7
AZ-025,"",68.8,120,5.8,63
AZ-027,"",81.7,121,6.0,75.7
AR-001,"",69.1,31,-1.5,70.6
AR-003,"",71.3,65,0.2,71.1
AR-005,"",62.6,13,-2.9,65.5
AR-007,"",62.4,10,-3.1,65.5
AR-009,"",62.3,17,-2.6,64.9
AR-011,"",70.0,49,-0.7,70.7
AR-013,"",69.2,32,-1.4,70.6
AR-015,"",62.2,13,-2.8,65
AR-017,"",71.2,50,-0.6,71.8
AR-019,"",67.9,21,-2.1,70
AR-021,"",66.3,32,-1.7,68
AR-023,"",64.5,19,-2.4,66.9
AR-025,"",68.6,25,-1.8,70.4
AR-027,"",69.0,21,-2.0,71
AR-029,"",66.1,13,-2.4,68.5
AR-031,"",66.8,28,-1.8,68.6
AR-033,"",64.9,15,-2.4,67.3
AR-035,"",69.0,40,-1.3,70.3
AR-037,"",67.8,27,-2.0,69.8
AR-039,"",68.0,20,-2.1,70.1
AR-041,"",69.7,30,-1.4,71.1
AR-043,"",70.2,46,-0.7,70.9
AR-045,"",66.3,16,-2.4,68.7
AR-047,"",64.7,14,-2.5,67.2
AR-049,"",63.2,28,-1.9,65.1
AR-051,"",66.9,27,-1.8,68.7
AR-053,"",68.0,22,-2.1,70.1
AR-055,"",66.5,29,-1.7,68.2
AR-057,"",68.0,17,-2.3,70.3
AR-059,"",67.5,22,-2.1,69.6
AR-061,"",67.4,25,-1.6,69
AR-063,"",64.5,16,-2.7,67.2
AR-065,"",62.9,12,-3.0,65.9
AR-067,"",66.0,21,-2.4,68.4
AR-069,"",68.5,25,-1.8,70.3
AR-071,"",63.7,12,-2.8,66.5
AR-073,"",69.4,22,-1.8,71.2
AR-075,"",65.4,22,-2.3,67.7
AR-077,"",69.4,43,-1.0,70.4
AR-079,"",69.2,29,-1.4,70.6
AR-081,"",69.0,34,-1.2,70.2
AR-083,"",65.3,10,-2.9,68.2
AR-085,"",67.7,21,-2.2,69.9
AR-087,"",61.7,14,-2.6,64.3
AR-089,"",62.4,12,-3.0,65.4
AR-091,"",69.8,31,-1.4,71.2
AR-093,"",68.3,39,-1.2,69.5
AR-095,"",68.9,37,-1.4,70.3
AR-097,"",66.1,20,-2.0,68.1
AR-099,"",67.8,11,-2.7,70.5
AR-101,"",61.5,12,-2.7,64.2
AR-103,"",68.6,20,-2.2,70.8
AR-105,"",66.6,14,-2.4,69
AR-107,"",69.6,40,-1.0,70.6
AR-109,"",67.4,30,-1.6,69
AR-111,"",67.3,26,-2.0,69.3
AR-113,"",64.9,15,-2.2,67.1
AR-115,"",64.4,10,-2.9,67.3
AR-117,"",68.2,24,-1.8,70
AR-119,"",67.2,13,-2.4,69.6
AR-121,"",65.2,31,-1.8,67
AR-123,"",68.7,38,-1.5,70.2
AR-125,"",66.9,15,-2.3,69.2
AR-127,"",65.4,13,-2.3,67.7
AR-129,"",61.9,9,-3.2,65.1
AR-131,"",66.3,18,-2.1,68.4
AR-133,"",68.0,30,-1.4,69.4
AR-135,"",64.0,25,-2.1,66.1
AR-137,"",62.8,10,-3.0,65.8
AR-139,"",70.0,40,-0.9,70.9
AR-141,"",63.4,10,-2.9,66.3
AR-143,"",62.5,12,-2.8,65.3
AR-145,"",66.4,21,-2.2,68.6
AR-147,"",67.4,26,-2.2,69.6
AR-149,"",66.0,12,-2.7,68.7
CA-001,"",65.2,123,5.4,59.8
CA-003,"",48.1,102,2.8,45.3
CA-005,"",62.8,105,3.0,59.8
CA-007,"",65.5,103,2.9,62.6
CA-009,"",63.5,109,3.3,60.2
CA-011,"",67.7,108,2.9,64.8
CA-013,"",66.9,123,5.4,61.5
CA-015,"",54.5,100,2.1,52.4
CA-017,"",58.0,100,2.5,55.5
CA-019,"",61.9,115,4.1,57.8
CA-021,"",65.9,102,2.6,63.3
CA-023,"",57.2,107,2.8,54.4
CA-025,"",83.0,122,5.8,77.2
CA-027,"",69.6,113,4.6,65
CA-029,"",68.7,118,4.4,64.3
CA-031,"",71.7,116,4.2,67.5
CA-033,"",60.9,103,2.5,58.4
CA-035,"",52.4,94,1.9,50.5
CA-037,"",66.7,121,5.4,61.3
CA-039,"",62.4,114,3.8,58.6
CA-041,"",59.4,121,4.0,55.4
CA-043,"",60.6,110,3.2,57.4
CA-045,"",58.7,109,2.7,56
CA-047,"",69.7,119,4.4,65.3
CA-049,"",52.4,101,2.5,49.9
CA-051,"",50.8,109,3.9,46.9
CA-053,"",63.2,121,4.5,58.7
CA-055,"",64.6,117,3.8,60.8
CA-057,"",56.9,98,2.5,54.4
CA-059,"",67.3,123,5.0,62.3
CA-061,"",58.4,101,2.7,55.7
CA-063,"",51.5,80,1.2,50.3
CA-065,"",76.5,122,5.9,70.6
CA-067,"",69.7,121,4.5,65.2
CA-069,"",64.1,119,4.5,59.6
CA-071,"",75.3,119,5.0,70.3
CA-073,"",68.0,122,5.5,62.5
CA-075,"",60.9,122,4.2,56.7
CA-077,"",70.1,123,5.2,64.9
CA-079,"",63.7,118,4.2,59.5
CA-081,"",61.0,124,5.1,55.9
CA-083,"",62.6,122,5.6,57
CA-085,"",63.6,123,5.1,58.5
CA-087,"",61.3,123,4.8,56.5
CA-089,"",59.6,88,1.8,57.8
CA-091,"",51.7,95,2.3,49.4
CA-093,"",52.9,96,2.2,50.7
CA-095,"",67.6,120,4.3,63.3
CA-097,"",61.0,120,3.7,57.3
CA-099,"",68.7,119,4.4,64.3
CA-101,"",70.3,113,3.7,66.6
CA-103,"",63.5,94,2.2,61.3
CA-105,"",56.0,95,2.1,53.9
CA-107,"",60.1,111,3.7,56.4
CA-109,"",54.5,103,2.8,51.7
CA-111,"",62.3,123,5.9,56.4
CA-113,"",68.8,114,3.7,65.1
CA-115,"",66.6,104,3.0,63.6
CO-001,"",58.8,102,2.8,56
CO-003,"",55.1,124,5.0,50.1
CO-005,"",57.9,103,2.6,55.3
CO-007,"",53.9,124,4.7,49.2
CO-009,"",63.7,102,2.6,61.1
CO-011,"",64.2,105,2.9,61.3
CO-013,"",52.9,117,3.1,49.8
CO-014,"",60.5,117,3.9,56.6
CO-015,"",47.4,120,3.5,43.9
CO-017,"",61.0,95,2.1,58.9
CO-019,"",45.9,120,3.9,42
CO-021,"",51.2,123,4.7,46.5
CO-023,"",52.7,124,5.0,47.7
CO-025,"",62.8,118,3.7,59.1
CO-027,"",50.5,122,4.0,46.5
CO-029,"",58.3,124,5.7,52.6
CO-031,"",59.9,113,3.4,56.5
CO-033,"",53.4,126,5.8,47.6
CO-035,"",55.0,108,2.8,52.2
CO-037,"",48.9,116,3.2,45.7
CO-039,"",56.4,107,2.9,53.5
CO-041,"",56.8,114,3.4,53.4
CO-043,"",54.4,117,3.2,51.2
CO-045,"",53.4,124,4.3,49.1
CO-047,"",46.7,114,2.9,43.8
CO-049,"",46.5,117,3.2,43.3
CO-051,"",48.5,123,4.3,44.2
CO-053,"",45.7,126,5.6,40.1
CO-055,"",56.6,122,4.4,52.2
CO-057,"",45.2,111,2.8,42.4
CO-059,"",54.0,111,2.9,51.1
CO-061,"",62.7,99,2.5,60.2
CO-063,"",59.8,86,1.8,58
CO-065,"",43.3,116,3.1,40.2
CO-067,"",55.1,125,5.4,49.7
CO-069,"",49.8,108,2.9,46.9
CO-071,"",61.5,121,4.4,57.1
CO-073,"",59.3,107,3.0,56.3
CO-075,"",58.1,78,1.0,57.1
CO-077,"",58.3,123,5.2,53.1
CO-079,"",46.1,124,4.4,41.7
CO-081,"",53.5,111,3.1,50.4
CO-083,"",59.6,125,5.4,54.2
CO-085,"",58.4,123,5.5,52.9
CO-087,"",58.1,86,1.8,56.3
CO-089,"",63.9,110,3.4,60.5
CO-091,"",51.8,125,5.9,45.9
CO-093,"",47.2,120,3.4,43.8
CO-095,"",58.6,79,1.1,57.5
CO-097,"",47.3,123,4.0,43.3
CO-099,"",63.9,95,2.3,61.6
CO-101,"",63.0,122,4.4,58.6
CO-103,"",54.2,118,4.0,50.2
CO-105,"",50.5,123,4.5,46
CO-107,"",48.6,111,2.8,45.8
